team1,team 2,team 1_goals,team _2goals,winning
Russia,Saudi Arabia,5,0,Russia
Egypt,Uruguay,0,1,Uruguay
Morocco,IR Iran,0,1,IR Iran
Portugal,Spain,3,3,Draw
France,Australia,2,1,France
Argentina,Iceland,1,1,Draw
Peru,Denmark,0,1,Denmark
Croatia,Nigeria,2,0,Croatia
Costa Rica,Serbia,0,1,Serbia
Germany,Mexico,0,1,Mexico
Brazil,Switzerland,1,1,Draw
Sweden,Korea Republic,1,0,Sweden
Belgium,Panama,3,0,Belgium
Tunisia,England,1,2,England
Colombia,Japan,1,2,Japan
Poland,Senegal,1,2,Senegal
Russia,Egypt,3,1,Russia
Portugal,Morocco,1,0,Portugal
Uruguay,Saudi Arabia,1,0,Uruguay
IR Iran,Spain,0,1,Spain
Denmark,Australia,1,1,Draw
France,Peru,1,0,France
Argentina,Croatia,0,3,Croatia
Brazil,Costa Rica,2,0,Brazil
Nigeria,Iceland,2,0,Nigeria
Serbia,Switzerland,1,2,Switzerland
Belgium,Tunisia,5,2,Belgium
Korea Republic,Mexico,1,2,Mexico
Germany,Sweden,2,1,Germany
England,Panama,6,1,England
Japan,Senegal,2,2,Draw
Poland,Colombia,0,3,Colombia
Uruguay,Russia,3,0,Uruguay
Saudi Arabia,Egypt,2,1,Saudi Arabia
Spain,Morocco,2,2,Draw
IR Iran,Portugal,1,1,Draw
Australia,Peru,0,2,Peru
Denmark,France,0,0,Draw
Nigeria,Argentina,1,2,Argentina
Iceland,Croatia,1,2,Croatia
Korea Republic,Germany,2,0,Korea Republic
Mexico,Sweden,0,3,Sweden
Serbia,Brazil,0,2,Brazil
Switzerland,Costa Rica,2,2,Draw
Japan,Poland,0,1,Poland
Senegal,Colombia,0,1,Colombia
Panama,Tunisia,1,2,Tunisia
England,Belgium,0,1,Belgium
France,Argentina,4,3,France
Uruguay,Portugal,2,1,Uruguay
Spain,Russia,1,1,Draw
Croatia,Denmark,1,1,Draw
Brazil,Mexico,2,0,Brazil
Belgium,Japan,3,2,Belgium
Sweden,Switzerland,1,0,Sweden
Colombia,England,1,1,Draw
Uruguay,France,0,2,France
Brazil,Belgium,1,2,Belgium
Sweden,England,0,2,England
Russia,Croatia,2,2,Draw
France,Belgium,1,0,France
Croatia,England,2,1,Croatia
Belgium,England,2,0,Belgium
France,Croatia,4,2,France
Russia,Saudi Arabia,5,0,Russia
Egypt,Uruguay,0,1,Uruguay
Morocco,IR Iran,0,1,IR Iran
Portugal,Spain,3,3,Draw
France,Australia,2,1,France
Argentina,Iceland,1,1,Draw
Peru,Denmark,0,1,Denmark
Croatia,Nigeria,2,0,Croatia
Costa Rica,Serbia,0,1,Serbia
Germany,Mexico,0,1,Mexico
Brazil,Switzerland,1,1,Draw
Sweden,Korea Republic,1,0,Sweden
Belgium,Panama,3,0,Belgium
Tunisia,England,1,2,England
Colombia,Japan,1,2,Japan
Poland,Senegal,1,2,Senegal
Russia,Egypt,3,1,Russia
Portugal,Morocco,1,0,Portugal
Uruguay,Saudi Arabia,1,0,Uruguay
IR Iran,Spain,0,1,Spain
Denmark,Australia,1,1,Draw
France,Peru,1,0,France
Argentina,Croatia,0,3,Croatia
Brazil,Costa Rica,2,0,Brazil
Nigeria,Iceland,2,0,Nigeria
Serbia,Switzerland,1,2,Switzerland
Belgium,Tunisia,5,2,Belgium
Korea Republic,Mexico,1,2,Mexico
Germany,Sweden,2,1,Germany
England,Panama,6,1,England
Japan,Senegal,2,2,Draw
Poland,Colombia,0,3,Colombia
Uruguay,Russia,3,0,Uruguay
Saudi Arabia,Egypt,2,1,Saudi Arabia
Spain,Morocco,2,2,Draw
IR Iran,Portugal,1,1,Draw
Australia,Peru,0,2,Peru
Denmark,France,0,0,Draw
Nigeria,Argentina,1,2,Argentina
Iceland,Croatia,1,2,Croatia
Korea Republic,Germany,2,0,Korea Republic
Mexico,Sweden,0,3,Sweden
Serbia,Brazil,0,2,Brazil
Switzerland,Costa Rica,2,2,Draw
Japan,Poland,0,1,Poland
Senegal,Colombia,0,1,Colombia
Panama,Tunisia,1,2,Tunisia
England,Belgium,0,1,Belgium
France,Argentina,4,3,France
Uruguay,Portugal,2,1,Uruguay
Spain,Russia,1,1,Draw
Croatia,Denmark,1,1,Draw
Brazil,Mexico,2,0,Brazil
Belgium,Japan,3,2,Belgium
Sweden,Switzerland,1,0,Sweden
Colombia,England,1,1,Draw
Uruguay,France,0,2,France
Brazil,Belgium,1,2,Belgium
Sweden,England,0,2,England
Russia,Croatia,2,2,Draw
France,Belgium,1,0,France
Croatia,England,2,1,Croatia
Belgium,England,2,0,Belgium
France,Croatia,4,2,France
